book,chapter,verse,duration
1,30,28,5.459562
1,30,29,8.306938
1,30,30,13.871
1,30,31,13.92325
1,30,32,14.445688
1,30,33,15.412187
1,30,34,5.0155
1,30,35,17.319125
1,30,36,9.325687
1,30,37,14.210562
1,30,38,17.031813
1,30,39,8.071813
1,30,40,14.654687
1,30,41,12.016312
1,30,42,7.10525
1,30,43,9.377937
1,31,1,11.937938
1,31,2,6.582813
1,31,3,9.038312
1,31,4,6.2955
1,31,5,11.728938
1,31,6,5.982
1,31,7,10.579562
1,31,8,14.576313
1,31,9,6.504437
1,31,10,14.053875
1,31,11,7.888937
1,31,12,14.471813
